id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	كِتَابُ					y
40001001002	40001001	مِيلَادِ					y
40001001003	40001001	يَسُوعَ					y
40001001004	40001001	ٱلْمَسِيحِ					y
40001001005	40001001	ٱبْنِ					y
40001001006	40001001	دَاوُدَ					y
40001001007	40001001	ٱبْنِ					y
40001001008	40001001	إِبْراهِيمَ	y				y
40001001009	40001001	:		y			n
40001002001	40001002	إِبْراهِيمُ					y
40001002002	40001002	وَلَدَ					y
40001002003	40001002	إِسْحاقَ	y				y
40001002004	40001002	.		y			n
40001002005	40001002	وَإِسْحاقُ					y
40001002006	40001002	وَلَدَ					y
40001002007	40001002	يَعْقُوبَ	y				y
40001002008	40001002	.		y			n
40001002009	40001002	وَيَعْقُوبُ					y
40001002010	40001002	وَلَدَ					y
40001002011	40001002	يَهُوذَا					y
40001002012	40001002	وَإِخْوَتَهُ	y				y
40001002013	40001002	.		y			n
40001003001	40001003	وَيَهُوذَا					y
40001003002	40001003	وَلَدَ					y
40001003003	40001003	فَارِصَ					y
40001003004	40001003	وَزَارَحَ					y
40001003005	40001003	مِنْ					y
40001003006	40001003	ثَامَارَ	y				y
40001003007	40001003	.		y			n
40001003008	40001003	وَفَارِصُ					y
40001003009	40001003	وَلَدَ					y
40001003010	40001003	حَصْرُونَ	y				y
40001003011	40001003	.		y			n
40001003012	40001003	وَحَصْرُونُ					y
40001003013	40001003	وَلَدَ					y
40001003014	40001003	أَرَامَ	y				y
40001003015	40001003	.		y			n
40001004001	40001004	وَأَرَامُ					y
40001004002	40001004	وَلَدَ					y
40001004003	40001004	عَمِّينَادَابَ	y				y
40001004004	40001004	.		y			n
40001004005	40001004	وَعَمِّينَادَابُ					y
40001004006	40001004	وَلَدَ					y
40001004007	40001004	نَحْشُونَ	y				y
40001004008	40001004	.		y			n
40001004009	40001004	وَنَحْشُونُ					y
40001004010	40001004	وَلَدَ					y
40001004011	40001004	سَلْمُونَ	y				y
40001004012	40001004	.		y			n
40001005001	40001005	وَسَلْمُونُ					y
40001005002	40001005	وَلَدَ					y
40001005003	40001005	بُوعَزَ					y
40001005004	40001005	مِنْ					y
40001005005	40001005	رَاحَابَ	y				y
40001005006	40001005	.		y			n
40001005007	40001005	وَبُوعَزُ					y
40001005008	40001005	وَلَدَ					y
40001005009	40001005	عُوبِيدَ					y
40001005010	40001005	مِنْ					y
40001005011	40001005	رَاعُوثَ	y				y
40001005012	40001005	.		y			n
40001005013	40001005	وَعُوبِيدُ					y
40001005014	40001005	وَلَدَ					y
40001005015	40001005	يَسَّى	y				y
40001005016	40001005	.		y			n
40001006001	40001006	وَيَسَّى					y
40001006002	40001006	وَلَدَ					y
40001006003	40001006	دَاوُدَ					y
40001006004	40001006	ٱلْمَلِكَ	y				y
40001006005	40001006	.		y			n
40001006006	40001006	وَدَاوُدُ					y
40001006007	40001006	ٱلْمَلِكُ					y
40001006008	40001006	وَلَدَ					y
40001006009	40001006	سُلَيْمَانَ					y
40001006010	40001006	مِنَ					y
40001006011	40001006	ٱلَّتِي					y
