identifier	altId	text	transType	isPunc	isPrimary
01001001001	فِي-1	فِي		False	True
01001001002	ٱلْبَدْءِ-1	ٱلْبَدْءِ		False	True
01001001003	خَلَقَ-1	خَلَقَ		False	True
01001001004	ٱللهُ-1	ٱللهُ		False	True
01001001005	ٱلسَّمَاوَاتِ-1	ٱلسَّمَاوَاتِ		False	True
01001001006	وَٱلْأَرْضَ-1	وَٱلْأَرْضَ		False	True
01001002001	وَكَانَتِ-1	وَكَانَتِ		False	True
01001002002	ٱلْأَرْضُ-1	ٱلْأَرْضُ		False	True
01001002003	خَرِبَةً-1	خَرِبَةً		False	True
01001002004	وَخَالِيَةً-1	وَخَالِيَةً		False	True
01001002006	وَعَلَى-1	وَعَلَى		False	True
01001002007	وَجْهِ-1	وَجْهِ		False	True
01001002008	ٱلْغَمْرِ-1	ٱلْغَمْرِ		False	True
01001002009	ظُلْمَةٌ-1	ظُلْمَةٌ		False	True
01001002011	وَرُوحُ-1	وَرُوحُ		False	True
01001002012	ٱللهِ-1	ٱللهِ		False	True
01001002013	يَرِفُّ-1	يَرِفُّ		False	True
01001002014	عَلَى-1	عَلَى		False	True
01001002015	وَجْهِ-2	وَجْهِ		False	True
01001002016	ٱلْمِيَاهِ-1	ٱلْمِيَاهِ		False	True
01001003001	وَقَالَ-1	وَقَالَ		False	True
01001003002	ٱللهُ-1	ٱللهُ		False	True
01001003005	لِيَكُنْ-1	لِيَكُنْ		False	True
01001003006	نُورٌ-1	نُورٌ		False	True
01001003009	فَكَانَ-1	فَكَانَ		False	True
01001003010	نُورٌ-2	نُورٌ		False	True
01001004001	وَرَأَى-1	وَرَأَى		False	True
01001004002	ٱللهُ-1	ٱللهُ		False	True
01001004003	ٱلنُّورَ-1	ٱلنُّورَ		False	True
01001004004	أَنَّهُ-1	أَنَّهُ		False	True
01001004005	حَسَنٌ-1	حَسَنٌ		False	True
01001004007	وَفَصَلَ-1	وَفَصَلَ		False	True
01001004008	ٱللهُ-2	ٱللهُ		False	True
01001004009	بَيْنَ-1	بَيْنَ		False	True
01001004010	ٱلنُّورِ-1	ٱلنُّورِ		False	True
01001004011	وَٱلظُّلْمَةِ-1	وَٱلظُّلْمَةِ		False	True
01001005001	وَدَعَا-1	وَدَعَا		False	True
01001005002	ٱللهُ-1	ٱللهُ		False	True
01001005003	ٱلنُّورَ-1	ٱلنُّورَ		False	True
01001005004	نَهَارًا-1	نَهَارًا		False	True
01001005006	وَٱلظُّلْمَةُ-1	وَٱلظُّلْمَةُ		False	True
01001005007	دَعَاهَا-1	دَعَاهَا		False	True
01001005008	لَيْلًا-1	لَيْلًا		False	True
01001005010	وَكَانَ-1	وَكَانَ		False	True
