id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	فِي					y
01001001002	01001001	ٱلْبَدْءِ					y
01001001003	01001001	خَلَقَ					y
01001001004	01001001	ٱللهُ					y
01001001005	01001001	ٱلسَّمَاوَاتِ					y
01001001006	01001001	وَٱلْأَرْضَ	y				y
01001001007	01001001	.		y			n
01001002001	01001002	وَكَانَتِ					y
01001002002	01001002	ٱلْأَرْضُ					y
01001002003	01001002	خَرِبَةً					y
01001002004	01001002	وَخَالِيَةً	y				y
01001002005	01001002	،		y			n
01001002006	01001002	وَعَلَى					y
01001002007	01001002	وَجْهِ					y
01001002008	01001002	ٱلْغَمْرِ					y
01001002009	01001002	ظُلْمَةٌ	y				y
01001002010	01001002	،		y			n
01001002011	01001002	وَرُوحُ					y
01001002012	01001002	ٱللهِ					y
01001002013	01001002	يَرِفُّ					y
01001002014	01001002	عَلَى					y
01001002015	01001002	وَجْهِ					y
01001002016	01001002	ٱلْمِيَاهِ	y				y
01001002017	01001002	.		y			n
01001003001	01001003	وَقَالَ					y
01001003002	01001003	ٱللهُ	y				y
01001003003	01001003	:		y			n
01001003004	01001003	«	y	y			n
01001003005	01001003	لِيَكُنْ					y
01001003006	01001003	نُورٌ	y				y
01001003007	01001003	»	y	y			n
01001003008	01001003	،		y			n
01001003009	01001003	فَكَانَ					y
01001003010	01001003	نُورٌ	y				y
01001003011	01001003	.		y			n
01001004001	01001004	وَرَأَى					y
01001004002	01001004	ٱللهُ					y
01001004003	01001004	ٱلنُّورَ					y
01001004004	01001004	أَنَّهُ					y
01001004005	01001004	حَسَنٌ	y				y
01001004006	01001004	.		y			n
01001004007	01001004	وَفَصَلَ					y
01001004008	01001004	ٱللهُ					y
01001004009	01001004	بَيْنَ					y
01001004010	01001004	ٱلنُّورِ					y
01001004011	01001004	وَٱلظُّلْمَةِ	y				y
01001004012	01001004	.		y			n
01001005001	01001005	وَدَعَا					y
01001005002	01001005	ٱللهُ					y
01001005003	01001005	ٱلنُّورَ					y
01001005004	01001005	نَهَارًا	y				y
01001005005	01001005	،		y			n
01001005006	01001005	وَٱلظُّلْمَةُ					y
01001005007	01001005	دَعَاهَا					y
01001005008	01001005	لَيْلًا	y				y
01001005009	01001005	.		y			n
01001005010	01001005	وَكَانَ					y
01001005011	01001005	مَسَاءٌ					y
01001005012	01001005	وَكَانَ					y
01001005013	01001005	صَبَاحٌ					y
01001005014	01001005	يَوْمًا					y
01001005015	01001005	وَاحِدًا	y				y
01001005016	01001005	.		y			n
01001006001	01001006	وَقَالَ					y
01001006002	01001006	ٱللهُ	y				y
01001006003	01001006	:		y			n
01001006004	01001006	«	y	y			n
01001006005	01001006	لِيَكُنْ					y
01001006006	01001006	جَلَدٌ					y
01001006007	01001006	فِي					y
01001006008	01001006	وَسَطِ					y
