id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	太初	y				y
01001001002	01001001	，	y	y			n
01001001003	01001001	上帝	y				y
01001001004	01001001	创造	y				y
01001001005	01001001	了	y				y
01001001006	01001001	天地	y				y
01001001007	01001001	。		y			n
01001002001	01001002	那时	y				y
01001002002	01001002	，	y	y			n
01001002003	01001002	大地	y				y
01001002004	01001002	空虚	y				y
01001002005	01001002	混沌	y				y
01001002006	01001002	，	y	y			n
01001002007	01001002	黑暗	y				y
01001002008	01001002	笼罩	y				y
01001002009	01001002	着	y				y
01001002010	01001002	深渊	y				y
01001002011	01001002	，	y	y			n
01001002012	01001002	上帝	y				y
01001002013	01001002	的	y				y
01001002014	01001002	灵	y				y
01001002015	01001002	运行	y				y
01001002016	01001002	在	y				y
01001002017	01001002	水面	y				y
01001002018	01001002	上	y				y
01001002019	01001002	。		y			n
01001003001	01001003	上帝	y				y
01001003002	01001003	说	y				y
01001003003	01001003	：	y	y			n
01001003004	01001003	“	y	y			n
01001003005	01001003	要	y				y
01001003006	01001003	有	y				y
01001003007	01001003	光	y				y
01001003008	01001003	！	y	y			n
01001003009	01001003	”	y	y			n
01001003010	01001003	就	y				y
01001003011	01001003	有	y				y
01001003012	01001003	了	y				y
01001003013	01001003	光	y				y
01001003014	01001003	。		y			n
01001004001	01001004	上帝	y				y
01001004002	01001004	看	y				y
01001004003	01001004	光	y				y
01001004004	01001004	是	y				y
01001004005	01001004	好的	y				y
01001004006	01001004	，	y	y			n
01001004007	01001004	就	y				y
01001004008	01001004	把	y				y
01001004009	01001004	光	y				y
01001004010	01001004	和	y				y
01001004011	01001004	黑暗	y				y
01001004012	01001004	分开	y				y
01001004013	01001004	。		y			n
01001005001	01001005	上帝	y				y
01001005002	01001005	称	y				y
01001005003	01001005	光	y				y
01001005004	01001005	为	y				y
01001005005	01001005	昼	y				y
01001005006	01001005	，	y	y			n
01001005007	01001005	称	y				y
01001005008	01001005	黑暗	y				y
01001005009	01001005	为	y				y
01001005010	01001005	夜	y				y
01001005011	01001005	。	y	y			n
01001005012	01001005	晚上	y				y
01001005013	01001005	过去	y				y
01001005014	01001005	，	y	y			n
01001005015	01001005	早晨	y				y
01001005016	01001005	到来	y				y
01001005017	01001005	，	y	y			n
01001005018	01001005	这是	y				y
01001005019	01001005	第一	y				y
01001005020	01001005	日	y				y
01001005021	01001005	。		y			n
01001006001	01001006	上帝	y				y
01001006002	01001006	说	y				y
01001006003	01001006	：	y	y			n
01001006004	01001006	“	y	y			n
01001006005	01001006	水	y				y
01001006006	01001006	与	y				y
01001006007	01001006	水	y				y
01001006008	01001006	之间	y				y
01001006009	01001006	要	y				y
01001006010	01001006	有	y				y
01001006011	01001006	穹苍	y				y
01001006012	01001006	，	y	y			n
01001006013	01001006	把	y				y
01001006014	01001006	水分	y				y
01001006015	01001006	开	y				y
01001006016	01001006	。	y	y			n
01001006017	01001006	”		y			n
01001007001	01001007	果然	y				y
01001007002	01001007	如此	y				y
01001007003	01001007	。	y	y			n
01001007004	01001007	上帝	y				y
01001007005	01001007	造	y				y
