id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	亚伯拉罕	y				y
40001001002	40001001	的	y				y
40001001003	40001001	后裔	y				y
40001001004	40001001	，	y	y			n
40001001005	40001001	大卫	y				y
40001001006	40001001	的	y				y
40001001007	40001001	子孙	y				y
40001001008	40001001	，	y	y			n
40001001009	40001001	耶稣	y				y
40001001010	40001001	基督	y				y
40001001011	40001001	的	y				y
40001001012	40001001	家谱	y				y
40001001013	40001001	：		y			n
40001002001	40001002	亚伯拉罕	y				y
40001002002	40001002	生	y				y
40001002003	40001002	以撒	y				y
40001002004	40001002	；	y	y			n
40001002005	40001002	以撒	y				y
40001002006	40001002	生	y				y
40001002007	40001002	雅各	y				y
40001002008	40001002	；	y	y			n
40001002009	40001002	雅各	y				y
40001002010	40001002	生	y				y
40001002011	40001002	犹大	y				y
40001002012	40001002	和	y				y
40001002013	40001002	他的	y				y
40001002014	40001002	弟兄	y				y
40001002015	40001002	；		y			n
40001003001	40001003	犹大	y				y
40001003002	40001003	从	y				y
40001003003	40001003	她玛	y				y
40001003004	40001003	氏	y				y
40001003005	40001003	生	y				y
40001003006	40001003	法勒斯	y				y
40001003007	40001003	和	y				y
40001003008	40001003	谢拉	y				y
40001003009	40001003	；	y	y			n
40001003010	40001003	法勒斯	y				y
40001003011	40001003	生	y				y
40001003012	40001003	希	y				y
40001003013	40001003	斯	y				y
40001003014	40001003	；	y	y			n
40001003015	40001003	希	y				y
40001003016	40001003	斯	y				y
40001003017	40001003	生	y				y
40001003018	40001003	亚兰	y				y
40001003019	40001003	；		y			n
40001004001	40001004	亚兰	y				y
40001004002	40001004	生	y				y
40001004003	40001004	亚米拿达	y				y
40001004004	40001004	；	y	y			n
40001004005	40001004	亚米拿达	y				y
40001004006	40001004	生	y				y
40001004007	40001004	拿顺	y				y
40001004008	40001004	；	y	y			n
40001004009	40001004	拿顺	y				y
40001004010	40001004	生	y				y
40001004011	40001004	撒门	y				y
40001004012	40001004	；		y			n
40001005001	40001005	撒门	y				y
40001005002	40001005	从	y				y
40001005003	40001005	喇合	y				y
40001005004	40001005	氏	y				y
40001005005	40001005	生	y				y
40001005006	40001005	波阿斯	y				y
40001005007	40001005	；	y	y			n
40001005008	40001005	波阿斯	y				y
40001005009	40001005	从	y				y
40001005010	40001005	路得	y				y
40001005011	40001005	氏	y				y
40001005012	40001005	生	y				y
40001005013	40001005	俄备得	y				y
40001005014	40001005	；	y	y			n
40001005015	40001005	俄备得	y				y
40001005016	40001005	生	y				y
40001005017	40001005	耶西	y				y
40001005018	40001005	；		y			n
40001006001	40001006	耶西	y				y
40001006002	40001006	生	y				y
40001006003	40001006	大卫	y				y
40001006004	40001006	王	y				y
40001006005	40001006	。	y	y			n
40001006006	40001006	大卫	y				y
40001006007	40001006	从	y				y
40001006008	40001006	乌利亚	y				y
40001006009	40001006	的	y				y
40001006010	40001006	妻子	y				y
40001006011	40001006	生	y				y
40001006012	40001006	所罗门	y				y
40001006013	40001006	；		y			n
40001007001	40001007	所罗门	y				y
40001007002	40001007	生	y				y
40001007003	40001007	罗波安	y				y
40001007004	40001007	；	y	y			n
40001007005	40001007	罗波安	y				y
40001007006	40001007	生	y				y
40001007007	40001007	亚比雅	y				y
40001007008	40001007	；	y	y			n
40001007009	40001007	亚比雅	y				y
40001007010	40001007	生	y				y
40001007011	40001007	亚撒	y				y
40001007012	40001007	；		y			n
40001008001	40001008	亚撒	y				y
40001008002	40001008	生	y				y
40001008003	40001008	约沙法	y				y
40001008004	40001008	；	y	y			n
40001008005	40001008	约沙法	y				y
40001008006	40001008	生	y				y
40001008007	40001008	约兰	y				y
40001008008	40001008	；	y	y			n
40001008009	40001008	约兰	y				y
40001008010	40001008	生	y				y
40001008011	40001008	乌西雅	y				y
40001008012	40001008	；		y			n
40001009001	40001009	乌西雅	y				y
40001009002	40001009	生	y				y
40001009003	40001009	约坦	y				y
40001009004	40001009	；	y	y			n
40001009005	40001009	约坦	y				y
40001009006	40001009	生	y				y
40001009007	40001009	亚哈斯	y				y
40001009008	40001009	；	y	y			n
40001009009	40001009	亚哈斯	y				y
40001009010	40001009	生	y				y
40001009011	40001009	希西家	y				y
40001009012	40001009	；		y			n
40001010001	40001010	希西家	y				y
40001010002	40001010	生	y				y
40001010003	40001010	玛拿西	y				y
40001010004	40001010	；	y	y			n
40001010005	40001010	玛拿西	y				y
40001010006	40001010	生	y				y
40001010007	40001010	亚们	y				y
40001010008	40001010	；	y	y			n
40001010009	40001010	亚们	y				y
40001010010	40001010	生	y				y
40001010011	40001010	约西亚	y				y
40001010012	40001010	；		y			n
40001011001	40001011	百姓	y				y
40001011002	40001011	被	y				y
40001011003	40001011	迁到	y				y
40001011004	40001011	巴比伦	y				y
40001011005	40001011	的	y				y
40001011006	40001011	时候	y				y
40001011007	40001011	，	y	y			n
40001011008	40001011	约西亚	y				y
40001011009	40001011	生	y				y
40001011010	40001011	耶哥尼雅	y				y
40001011011	40001011	和	y				y
40001011012	40001011	他的	y				y
40001011013	40001011	弟兄	y				y
40001011014	40001011	。		y			n
40001012001	40001012	迁到	y				y
40001012002	40001012	巴比伦	y				y
40001012003	40001012	之后	y				y
40001012004	40001012	，	y	y			n
40001012005	40001012	耶哥尼雅	y				y
40001012006	40001012	生	y				y
40001012007	40001012	撒拉铁	y				y
40001012008	40001012	；	y	y			n
40001012009	40001012	撒拉铁	y				y
40001012010	40001012	生	y				y
40001012011	40001012	所罗巴伯	y				y
40001012012	40001012	；		y			n
40001013001	40001013	所罗巴伯	y				y
40001013002	40001013	生	y				y
40001013003	40001013	亚比玉	y				y
40001013004	40001013	；	y	y			n
40001013005	40001013	亚比玉	y				y
40001013006	40001013	生	y				y
40001013007	40001013	以利亚敬	y				y
40001013008	40001013	；	y	y			n
40001013009	40001013	以利亚敬	y				y
40001013010	40001013	生	y				y
40001013011	40001013	亚所	y				y
40001013012	40001013	；		y			n
40001014001	40001014	亚所	y				y
40001014002	40001014	生	y				y
40001014003	40001014	撒督	y				y
40001014004	40001014	；	y	y			n
40001014005	40001014	撒督	y				y
40001014006	40001014	生	y				y
40001014007	40001014	亚金	y				y
40001014008	40001014	；	y	y			n
40001014009	40001014	亚金	y				y
