id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	In					y
01001001002	01001001	the					y
01001001003	01001001	beginning					y
01001001004	01001001	God					y
01001001005	01001001	created					y
01001001006	01001001	the					y
01001001007	01001001	heavens					y
01001001008	01001001	and					y
01001001009	01001001	the					y
01001001010	01001001	earth	y				y
01001001011	01001001	.		y			n
01001001012	01001001	,		y			n
01001002001	01001002	Now					y
01001002002	01001002	the					y
01001002003	01001002	earth					y
01001002004	01001002	was					y
01001002005	01001002	formless					y
01001002006	01001002	and					y
01001002007	01001002	empty	y				y
01001002008	01001002	,		y			n
01001002009	01001002	darkness					y
01001002010	01001002	covered					y
01001002011	01001002	the					y
01001002012	01001002	surface					y
01001002013	01001002	of					y
01001002014	01001002	the					y
01001002015	01001002	watery					y
01001002016	01001002	depths	y				y
01001002017	01001002	,		y			n
01001002018	01001002	and					y
01001002019	01001002	the					y
01001002020	01001002	Spirit					y
01001002021	01001002	of					y
01001002022	01001002	God					y
01001002023	01001002	was					y
01001002024	01001002	hovering					y
01001002025	01001002	over					y
01001002026	01001002	the					y
01001002027	01001002	surface					y
01001002028	01001002	of					y
01001002029	01001002	the					y
01001002030	01001002	waters	y				y
01001002031	01001002	.		y			n
01001003001	01001003	Then					y
01001003002	01001003	God					y
01001003003	01001003	said	y				y
01001003004	01001003	,		y			n
01001003005	01001003	“	y	y			n
01001003006	01001003	Let					y
01001003007	01001003	there					y
01001003008	01001003	be					y
01001003009	01001003	light	y				y
01001003010	01001003	,	y	y			n
01001003011	01001003	”		y			n
01001003012	01001003	and					y
01001003013	01001003	there					y
01001003014	01001003	was					y
01001003015	01001003	light	y				y
01001003016	01001003	.		y			n
01001004001	01001004	God					y
01001004002	01001004	saw					y
01001004003	01001004	that					y
01001004004	01001004	the					y
01001004005	01001004	light					y
01001004006	01001004	was					y
01001004007	01001004	good	y				y
01001004008	01001004	,		y			n
01001004009	01001004	and					y
01001004010	01001004	God					y
01001004011	01001004	separated					y
01001004012	01001004	the					y
01001004013	01001004	light					y
01001004014	01001004	from					y
01001004015	01001004	the					y
01001004016	01001004	darkness	y				y
01001004017	01001004	.		y			n
01001005001	01001005	God					y
01001005002	01001005	called					y
01001005003	01001005	the					y
01001005004	01001005	light					y
01001005005	01001005	“	y	y			n
01001005006	01001005	day	y				y
01001005007	01001005	,	y	y			n
01001005008	01001005	”		y			n
01001005009	01001005	and					y
01001005010	01001005	the					y
01001005011	01001005	darkness					y
01001005012	01001005	he					y
01001005013	01001005	called					y
01001005014	01001005	“	y	y			n
01001005015	01001005	night	y				y
01001005016	01001005	.	y	y			n
01001005017	01001005	”		y			n
01001005018	01001005	There					y
01001005019	01001005	was					y
01001005020	01001005	an					y
01001005021	01001005	evening	y				y
01001005022	01001005	,		y			n
01001005023	01001005	and					y
01001005024	01001005	there					y
01001005025	01001005	was					y
01001005026	01001005	a					y
01001005027	01001005	morning	y				y
01001005028	01001005	:		y			n
01001005029	01001005	one					y
01001005030	01001005	day	y				y
01001005031	01001005	.		y			n
01001006001	01001006	Then					y
01001006002	01001006	God					y
01001006003	01001006	said	y				y
01001006004	01001006	,		y			n
01001006005	01001006	“	y	y			n
01001006006	01001006	Let					y
01001006007	01001006	there					y
01001006008	01001006	be					y
01001006009	01001006	an					y
01001006010	01001006	expanse					y
01001006011	01001006	between					y
01001006012	01001006	the					y
01001006013	01001006	waters	y				y
01001006014	01001006	,		y			n
01001006015	01001006	separating					y
01001006016	01001006	water					y
01001006017	01001006	from					y
01001006018	01001006	water	y				y
01001006019	01001006	.	y	y			n
01001006020	01001006	”		y			n
01001007001	01001007	So					y
01001007002	01001007	God					y
01001007003	01001007	made					y
01001007004	01001007	the					y
01001007005	01001007	expanse					y
01001007006	01001007	and					y
01001007007	01001007	separated					y
01001007008	01001007	the					y
01001007009	01001007	water					y
01001007010	01001007	under					y
01001007011	01001007	the					y
01001007012	01001007	expanse					y
01001007013	01001007	from					y
01001007014	01001007	the					y
01001007015	01001007	water					y
01001007016	01001007	above					y
01001007017	01001007	the					y
01001007018	01001007	expanse	y				y
01001007019	01001007	.		y			n
01001007020	01001007	And					y
01001007021	01001007	it					y
01001007022	01001007	was					y
01001007023	01001007	so	y				y
01001007024	01001007	.		y			n
01001008001	01001008	God					y
01001008002	01001008	called					y
01001008003	01001008	the					y
01001008004	01001008	expanse					y
01001008005	01001008	“	y	y			n
01001008006	01001008	sky	y				y
01001008007	01001008	.	y	y			n
01001008008	01001008	”		y			n
01001008009	01001008	Evening					y
01001008010	01001008	came					y
01001008011	01001008	and					y
01001008012	01001008	then					y
01001008013	01001008	morning	y				y
01001008014	01001008	:		y			n
01001008015	01001008	the					y
01001008016	01001008	second					y
01001008017	01001008	day	y				y
01001008018	01001008	.		y			n
01001009001	01001009	Then					y
01001009002	01001009	God					y
01001009003	01001009	said	y				y
01001009004	01001009	,		y			n
01001009005	01001009	“	y	y			n
01001009006	01001009	Let					y
01001009007	01001009	the					y
01001009008	01001009	water					y
01001009009	01001009	under					y
01001009010	01001009	the					y
01001009011	01001009	sky					y
01001009012	01001009	be					y
01001009013	01001009	gathered					y
01001009014	01001009	into					y
01001009015	01001009	one					y
01001009016	01001009	place	y				y
01001009017	01001009	,		y			n
01001009018	01001009	and					y
01001009019	01001009	let					y
01001009020	01001009	the					y
01001009021	01001009	dry					y
01001009022	01001009	land					y
01001009023	01001009	appear	y				y
01001009024	01001009	.	y	y			n
01001009025	01001009	”		y			n
01001009026	01001009	And					y
01001009027	01001009	it					y
01001009028	01001009	was					y
01001009029	01001009	so	y				y
01001009030	01001009	.		y			n
01001010001	01001010	God					y
01001010002	01001010	called					y
01001010003	01001010	the					y
01001010004	01001010	dry					y
01001010005	01001010	land					y
01001010006	01001010	“	y	y			n
01001010007	01001010	earth	y				y
01001010008	01001010	,	y	y			n
01001010009	01001010	”		y			n
01001010010	01001010	and					y
01001010011	01001010	the					y
01001010012	01001010	gathering					y
01001010013	01001010	of					y
01001010014	01001010	the					y
01001010015	01001010	water					y
01001010016	01001010	he					y
01001010017	01001010	called					y
01001010018	01001010	“	y	y			n
01001010019	01001010	seas	y				y
01001010020	01001010	.	y	y			n
01001010021	01001010	”		y			n
01001010022	01001010	And					y
01001010023	01001010	God					y
01001010024	01001010	saw					y
01001010025	01001010	that					y
01001010026	01001010	it					y
01001010027	01001010	was					y
01001010028	01001010	good	y				y
01001010029	01001010	.		y			n
01001011001	01001011	Then					y
01001011002	01001011	God					y
01001011003	01001011	said	y				y
01001011004	01001011	,		y			n
01001011005	01001011	“	y	y			n
01001011006	01001011	Let					y
01001011007	01001011	the					y
01001011008	01001011	earth					y
01001011009	01001011	produce					y
01001011010	01001011	vegetation	y				y
01001011011	01001011	:		y			n
01001011012	01001011	seed-bearing					y
01001011013	01001011	plants					y
01001011014	01001011	and					y
01001011015	01001011	fruit					y
01001011016	01001011	trees					y
01001011017	01001011	on					y
01001011018	01001011	the					y
01001011019	01001011	earth					y
01001011020	01001011	bearing					y
01001011021	01001011	fruit					y
01001011022	01001011	with					y
01001011023	01001011	seed					y
01001011024	01001011	in					y
01001011025	01001011	it					y
01001011026	01001011	according					y
01001011027	01001011	to					y
01001011028	01001011	their					y
01001011029	01001011	kinds	y				y
01001011030	01001011	.	y	y			n
01001011031	01001011	”		y			n
01001011032	01001011	And					y
01001011033	01001011	it					y
01001011034	01001011	was					y
01001011035	01001011	so	y				y
01001011036	01001011	.		y			n
01001012001	01001012	The					y
01001012002	01001012	earth					y
01001012003	01001012	produced					y
01001012004	01001012	vegetation	y				y
01001012005	01001012	:		y			n
01001012006	01001012	seed-bearing					y
01001012007	01001012	plants					y
01001012008	01001012	according					y
01001012009	01001012	to					y
01001012010	01001012	their					y
01001012011	01001012	kinds					y
01001012012	01001012	and					y
01001012013	01001012	trees					y
01001012014	01001012	bearing					y
01001012015	01001012	fruit					y
01001012016	01001012	with					y
01001012017	01001012	seed					y
01001012018	01001012	in					y
01001012019	01001012	it					y
01001012020	01001012	according					y
01001012021	01001012	to					y
01001012022	01001012	their					y
01001012023	01001012	kinds	y				y
01001012024	01001012	.		y			n
01001012025	01001012	And					y
01001012026	01001012	God					y
01001012027	01001012	saw					y
01001012028	01001012	that					y
01001012029	01001012	it					y
01001012030	01001012	was					y
01001012031	01001012	good	y				y
01001012032	01001012	.		y			n
01001013001	01001013	Evening					y
01001013002	01001013	came					y
01001013003	01001013	and					y
01001013004	01001013	then					y
01001013005	01001013	morning	y				y
01001013006	01001013	:		y			n
01001013007	01001013	the					y
01001013008	01001013	third					y
01001013009	01001013	day	y				y
01001013010	01001013	.		y			n
01001014001	01001014	Then					y
01001014002	01001014	God					y
01001014003	01001014	said	y				y
01001014004	01001014	,		y			n
01001014005	01001014	“	y	y			n
01001014006	01001014	Let					y
01001014007	01001014	there					y
01001014008	01001014	be					y
01001014009	01001014	lights					y
01001014010	01001014	in					y
01001014011	01001014	the					y
01001014012	01001014	expanse					y
01001014013	01001014	of					y
01001014014	01001014	the					y
01001014015	01001014	sky					y
01001014016	01001014	to					y
01001014017	01001014	separate					y
01001014018	01001014	the					y
01001014019	01001014	day					y
01001014020	01001014	from					y
01001014021	01001014	the					y
01001014022	01001014	night	y				y
01001014023	01001014	.		y			n
01001014024	01001014	They					y
01001014025	01001014	will					y
01001014026	01001014	serve					y
01001014027	01001014	as					y
01001014028	01001014	signs					y
01001014029	01001014	for					y
01001014030	01001014	seasons					y
01001014031	01001014	and					y
01001014032	01001014	for					y
01001014033	01001014	days					y
01001014034	01001014	and					y
01001014035	01001014	years	y				y
01001014036	01001014	.		y			n
01001015001	01001015	They					y
01001015002	01001015	will					y
01001015003	01001015	be					y
01001015004	01001015	lights					y
01001015005	01001015	in					y
01001015006	01001015	the					y
01001015007	01001015	expanse					y
01001015008	01001015	of					y
01001015009	01001015	the					y
01001015010	01001015	sky					y
01001015011	01001015	to					y
01001015012	01001015	provide					y
01001015013	01001015	light					y
01001015014	01001015	on					y
01001015015	01001015	the					y
01001015016	01001015	earth	y				y
01001015017	01001015	.	y	y			n
01001015018	01001015	”		y			n
01001015019	01001015	And					y
01001015020	01001015	it					y
01001015021	01001015	was					y
01001015022	01001015	so	y				y
01001015023	01001015	.		y			n
01001016001	01001016	God					y
01001016002	01001016	made					y
01001016003	01001016	the					y
01001016004	01001016	two					y
01001016005	01001016	great					y
01001016006	01001016	lights					y
01001016007	01001016	—		y			n
01001016008	01001016	the					y
01001016009	01001016	greater					y
01001016010	01001016	light					y
01001016011	01001016	to					y
01001016012	01001016	rule					y
01001016013	01001016	over					y
01001016014	01001016	the					y
01001016015	01001016	day					y
01001016016	01001016	and					y
01001016017	01001016	the					y
01001016018	01001016	lesser					y
01001016019	01001016	light					y
01001016020	01001016	to					y
01001016021	01001016	rule					y
01001016022	01001016	over					y
01001016023	01001016	the					y
01001016024	01001016	night					y
01001016025	01001016	—		y			n
01001016026	01001016	as					y
01001016027	01001016	well					y
01001016028	01001016	as					y
01001016029	01001016	the					y
01001016030	01001016	stars	y				y
01001016031	01001016	.		y			n
01001017001	01001017	God					y
01001017002	01001017	placed					y
01001017003	01001017	them					y
01001017004	01001017	in					y
01001017005	01001017	the					y
01001017006	01001017	expanse					y
01001017007	01001017	of					y
01001017008	01001017	the					y
01001017009	01001017	sky					y
01001017010	01001017	to					y
01001017011	01001017	provide					y
01001017012	01001017	light					y
