id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
41001001001	41001001	Commencement					y
41001001002	41001001	de					y
41001001003	41001001	l’	y				y
41001001004	41001001	Évangile					y
41001001005	41001001	de					y
41001001006	41001001	Jésus-Christ	y				y
41001001007	41001001	,		y			n
41001001008	41001001	Fils					y
41001001009	41001001	de					y
41001001010	41001001	Dieu	y				y
41001001011	41001001	.		y			n
41001002001	41001002	Comme					y
41001002002	41001002	ce					y
41001002003	41001002	qui					y
41001002004	41001002	est					y
41001002005	41001002	écrit					y
41001002006	41001002	dans					y
41001002007	41001002	Ésaïe	y				y
41001002008	41001002	,		y			n
41001002009	41001002	le					y
41001002010	41001002	prophète					y
41001002011	41001002	:		y			n
41001002012	41001002	Voici	y				y
41001002013	41001002	,		y			n
41001002014	41001002	j’	y				y
41001002015	41001002	envoie					y
41001002016	41001002	devant					y
41001002017	41001002	toi					y
41001002018	41001002	mon					y
41001002019	41001002	messager	y				y
41001002020	41001002	,		y			n
41001002021	41001002	Qui					y
41001002022	41001002	préparera					y
41001002023	41001002	ton					y
41001002024	41001002	chemin	y				y
41001002025	41001002	.		y			n
41001003001	41001003	C’	y				y
41001003002	41001003	est					y
41001003003	41001003	la					y
41001003004	41001003	voix					y
41001003005	41001003	de					y
41001003006	41001003	celui					y
41001003007	41001003	qui					y
41001003008	41001003	crie					y
41001003009	41001003	dans					y
41001003010	41001003	le					y
41001003011	41001003	désert					y
41001003012	41001003	:		y			n
41001003013	41001003	Préparez					y
41001003014	41001003	le					y
41001003015	41001003	chemin					y
41001003016	41001003	du					y
41001003017	41001003	Seigneur	y				y
41001003018	41001003	,		y			n
41001003019	41001003	Rendez					y
41001003020	41001003	ses					y
41001003021	41001003	sentiers					y
41001003022	41001003	droits					y
41001003023	41001003	!		y			n
41001004001	41001004	Jean					y
41001004002	41001004	arriva	y				y
41001004003	41001004	.		y			n
41001004004	41001004	Il					y
41001004005	41001004	baptisait					y
41001004006	41001004	dans					y
41001004007	41001004	le					y
41001004008	41001004	désert					y
