id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
06001001001	06001001	Après					y
06001001002	06001001	la					y
06001001003	06001001	mort					y
06001001004	06001001	de					y
06001001005	06001001	Moïse	y				y
06001001006	06001001	,		y			n
06001001007	06001001	serviteur					y
06001001008	06001001	de					y
06001001009	06001001	l’	y				y
06001001010	06001001	Éternel	y				y
06001001011	06001001	,		y			n
06001001012	06001001	l’	y				y
06001001013	06001001	Éternel					y
06001001014	06001001	dit					y
06001001015	06001001	à					y
06001001016	06001001	Josué	y				y
06001001017	06001001	,		y			n
06001001018	06001001	fils					y
06001001019	06001001	de					y
06001001020	06001001	Nun	y				y
06001001021	06001001	,		y			n
06001001022	06001001	serviteur					y
06001001023	06001001	de					y
06001001024	06001001	Moïse					y
06001001025	06001001	:		y			n
06001002001	06001002	«		y			n
06001002002	06001002	Moïse	y				y
06001002003	06001002	,		y			n
06001002004	06001002	mon					y
06001002005	06001002	serviteur	y				y
06001002006	06001002	,		y			n
06001002007	06001002	est					y
06001002008	06001002	mort	y				y
06001002009	06001002	.		y			n
06001002010	06001002	Maintenant	y				y
06001002011	06001002	,		y			n
06001002012	06001002	lève-toi	y				y
06001002013	06001002	,		y			n
06001002014	06001002	passe					y
06001002015	06001002	[	y	y			n
06001002016	06001002	de					y
06001002017	06001002	l’	y				y
06001002018	06001002	autre					y
06001002019	06001002	côté	y				y
06001002020	06001002	]		y			n
06001002021	06001002	du					y
06001002022	06001002	Jourdain	y				y
06001002023	06001002	,		y			n
06001002024	06001002	toi					y
06001002025	06001002	et					y
06001002026	06001002	tout					y
06001002027	06001002	ce					y
06001002028	06001002	peuple	y				y
06001002029	06001002	,		y			n
06001002030	06001002	pour					y
06001002031	06001002	entrer					y
06001002032	06001002	dans					y
06001002033	06001002	le					y
06001002034	06001002	pays					y
06001002035	06001002	que					y
06001002036	06001002	je					y
06001002037	06001002	donne					y
06001002038	06001002	aux					y
06001002039	06001002	enfants					y
06001002040	06001002	d’	y				y
06001002041	06001002	Israël	y				y
06001002042	06001002	.		y			n
06001003001	06001003	Tout					y
06001003002	06001003	lieu					y
06001003003	06001003	sur					y
06001003004	06001003	lequel					y
06001003005	06001003	vos					y
06001003006	06001003	pieds					y
06001003007	06001003	marcheront	y				y
06001003008	06001003	,		y			n
06001003009	06001003	je					y
06001003010	06001003	vous					y
06001003011	06001003	le					y
06001003012	06001003	donne	y				y
06001003013	06001003	,		y			n
06001003014	06001003	comme					y
06001003015	06001003	je					y
06001003016	06001003	l’	y				y
06001003017	06001003	ai					y
06001003018	06001003	dit					y
06001003019	06001003	à					y
06001003020	06001003	Moïse	y				y
06001003021	06001003	.		y			n
06001004001	06001004	Vous					y
06001004002	06001004	aurez					y
06001004003	06001004	pour					y
06001004004	06001004	territoire					y
06001004005	06001004	depuis					y
06001004006	06001004	le					y
06001004007	06001004	désert					y
06001004008	06001004	et					y
06001004009	06001004	le					y
06001004010	06001004	Liban					y
06001004011	06001004	jusqu’	y				y
06001004012	06001004	au					y
06001004013	06001004	grand					y
06001004014	06001004	fleuve	y				y
06001004015	06001004	,		y			n
06001004016	06001004	le					y
06001004017	06001004	fleuve					y
06001004018	06001004	de					y
06001004019	06001004	l’	y				y
06001004020	06001004	Euphrate	y				y
06001004021	06001004	,		y			n
06001004022	06001004	tout					y
06001004023	06001004	le					y
06001004024	06001004	pays					y
06001004025	06001004	des					y
06001004026	06001004	Héthiens	y				y
06001004027	06001004	,		y			n
06001004028	06001004	et					y
06001004029	06001004	jusqu’	y				y
06001004030	06001004	à					y
06001004031	06001004	la					y
06001004032	06001004	grande					y
06001004033	06001004	mer					y
06001004034	06001004	vers					y
06001004035	06001004	le					y
06001004036	06001004	soleil					y
06001004037	06001004	couchant	y				y
06001004038	06001004	.		y			n
06001005001	06001005	Nul					y
06001005002	06001005	ne					y
06001005003	06001005	pourra					y
06001005004	06001005	tenir					y
06001005005	06001005	devant					y
06001005006	06001005	toi	y				y
06001005007	06001005	,		y			n
06001005008	06001005	tant					y
06001005009	06001005	que					y
06001005010	06001005	tu					y
06001005011	06001005	vivras	y				y
06001005012	06001005	.		y			n
06001005013	06001005	Je					y
