id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
01001001001	01001001	Pada				
01001001002	01001001	mulanya				
01001001003	01001001	Allah				
01001001004	01001001	menciptakan				
01001001005	01001001	langit				
01001001006	01001001	dan				
01001001007	01001001	bumi	y			
01001001008	01001001	.		y		
01001002001	01001002	Bumi				
01001002002	01001002	belum				
01001002003	01001002	berbentuk				
01001002004	01001002	dan				
01001002005	01001002	kosong	y			
01001002006	01001002	;		y		
01001002007	01001002	gelap				
01001002008	01001002	gulita				
01001002009	01001002	menutupi				
01001002010	01001002	samudera				
01001002011	01001002	raya	y			
01001002012	01001002	,		y		
01001002013	01001002	dan				
01001002014	01001002	Roh				
01001002015	01001002	Allah				
01001002016	01001002	melayang-layang				
01001002017	01001002	di				
01001002018	01001002	atas				
01001002019	01001002	permukaan				
01001002020	01001002	air	y			
01001002021	01001002	.		y		
01001003001	01001003	Berfirmanlah				
01001003002	01001003	Allah	y			
01001003003	01001003	:		y		
01001003004	01001003	”	y	y		
01001003005	01001003	Jadilah				
01001003006	01001003	terang	y			
01001003007	01001003	.	y	y		
01001003008	01001003	”		y		
01001003009	01001003	Lalu				
01001003010	01001003	terang				
01001003011	01001003	itu				
01001003012	01001003	jadi	y			
01001003013	01001003	.		y		
01001004001	01001004	Allah				
01001004002	01001004	melihat				
01001004003	01001004	bahwa				
01001004004	01001004	terang				
01001004005	01001004	itu				
01001004006	01001004	baik	y			
01001004007	01001004	,		y		
01001004008	01001004	lalu				
01001004009	01001004	dipisahkan-Nyalah				
01001004010	01001004	terang				
01001004011	01001004	itu				
01001004012	01001004	dari				
01001004013	01001004	gelap	y			
01001004014	01001004	.		y		
01001005001	01001005	Dan				
01001005002	01001005	Allah				
01001005003	01001005	menamai				
01001005004	01001005	terang				
01001005005	01001005	itu				
01001005006	01001005	siang	y			
01001005007	01001005	,		y		
01001005008	01001005	dan				
01001005009	01001005	gelap				
01001005010	01001005	itu				
01001005011	01001005	malam	y			
01001005012	01001005	.		y		
01001005013	01001005	Jadilah				
01001005014	01001005	petang				
01001005015	01001005	dan				
01001005016	01001005	jadilah				
01001005017	01001005	pagi	y			
01001005018	01001005	,		y		
01001005019	01001005	itulah				
01001005020	01001005	hari				
01001005021	01001005	pertama	y			
01001005022	01001005	.		y		
01001006001	01001006	Berfirmanlah				
01001006002	01001006	Allah	y			
01001006003	01001006	:		y		
01001006004	01001006	”	y	y		
01001006005	01001006	Jadilah				
01001006006	01001006	cakrawala				
01001006007	01001006	di				
01001006008	01001006	tengah				
01001006009	01001006	segala				
01001006010	01001006	air				
01001006011	01001006	untuk				
01001006012	01001006	memisahkan				
01001006013	01001006	air				
01001006014	01001006	dari				
01001006015	01001006	air	y			
01001006016	01001006	.	y	y		
01001006017	01001006	”		y		
01001007001	01001007	Maka				
01001007002	01001007	Allah				
01001007003	01001007	menjadikan				
01001007004	01001007	cakrawala				
01001007005	01001007	dan				
01001007006	01001007	Ia				
01001007007	01001007	memisahkan				
01001007008	01001007	air				
01001007009	01001007	yang				
01001007010	01001007	ada				
01001007011	01001007	di				
01001007012	01001007	bawah				
01001007013	01001007	cakrawala				
01001007014	01001007	itu				
01001007015	01001007	dari				
01001007016	01001007	air				
01001007017	01001007	yang				
01001007018	01001007	ada				
01001007019	01001007	di				
01001007020	01001007	atasnya	y			
01001007021	01001007	.		y		
01001007022	01001007	Dan				
01001007023	01001007	jadilah				
01001007024	01001007	demikian	y			
01001007025	01001007	.		y		
01001008001	01001008	Lalu				
