id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Esta					y
40001001002	40001001	es					y
40001001003	40001001	la					y
40001001004	40001001	lista					y
40001001005	40001001	de					y
40001001006	40001001	los					y
40001001007	40001001	antepasados					y
40001001008	40001001	de					y
40001001009	40001001	Jesucristo	y				y
40001001010	40001001	,		y			n
40001001011	40001001	descendiente					y
40001001012	40001001	de					y
40001001013	40001001	David					y
40001001014	40001001	y					y
40001001015	40001001	de					y
40001001016	40001001	Abraham	y				y
40001001017	40001001	.		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	fue					y
40001002003	40001002	el					y
40001002004	40001002	padre					y
40001002005	40001002	de					y
40001002006	40001002	Isaac	y				y
40001002007	40001002	,		y			n
40001002008	40001002	Isaac					y
40001002009	40001002	fue					y
40001002010	40001002	el					y
40001002011	40001002	padre					y
40001002012	40001002	de					y
40001002013	40001002	Jacob					y
40001002014	40001002	y					y
40001002015	40001002	Jacob					y
40001002016	40001002	fue					y
40001002017	40001002	el					y
40001002018	40001002	padre					y
40001002019	40001002	de					y
40001002020	40001002	Judá					y
40001002021	40001002	y					y
40001002022	40001002	de					y
40001002023	40001002	sus					y
40001002024	40001002	hermanos	y				y
40001002025	40001002	.		y			n
40001003001	40001003	Judá					y
40001003002	40001003	fue					y
40001003003	40001003	el					y
40001003004	40001003	padre					y
40001003005	40001003	de					y
40001003006	40001003	Fares					y
40001003007	40001003	y					y
40001003008	40001003	de					y
40001003009	40001003	Zera	y				y
40001003010	40001003	.		y			n
40001003011	40001003	Los					y
40001003012	40001003	tuvo					y
40001003013	40001003	con					y
40001003014	40001003	Tamar	y				y
40001003015	40001003	.		y			n
40001003016	40001003	Fares					y
40001003017	40001003	fue					y
40001003018	40001003	el					y
40001003019	40001003	padre					y
40001003020	40001003	de					y
40001003021	40001003	Jezrón					y
40001003022	40001003	y					y
40001003023	40001003	Jezrón					y
40001003024	40001003	fue					y
40001003025	40001003	el					y
40001003026	40001003	padre					y
40001003027	40001003	de					y
40001003028	40001003	Aram	y				y
40001003029	40001003	.		y			n
40001004001	40001004	Aram					y
40001004002	40001004	fue					y
40001004003	40001004	el					y
40001004004	40001004	padre					y
40001004005	40001004	de					y
40001004006	40001004	Aminadab	y				y
40001004007	40001004	,		y			n
40001004008	40001004	Aminadab					y
40001004009	40001004	fue					y
40001004010	40001004	el					y
40001004011	40001004	padre					y
40001004012	40001004	de					y
40001004013	40001004	Naasón					y
40001004014	40001004	y					y
40001004015	40001004	Naasón					y
40001004016	40001004	fue					y
40001004017	40001004	el					y
40001004018	40001004	padre					y
40001004019	40001004	de					y
40001004020	40001004	Salmón	y				y
40001004021	40001004	.		y			n
40001005001	40001005	Salmón					y
40001005002	40001005	fue					y
40001005003	40001005	el					y
40001005004	40001005	padre					y
40001005005	40001005	de					y
40001005006	40001005	Booz	y				y
40001005007	40001005	.		y			n
40001005008	40001005	Lo					y
40001005009	40001005	tuvo					y
40001005010	40001005	con					y
40001005011	40001005	Rajab	y				y
40001005012	40001005	.		y			n
40001005013	40001005	Booz					y
40001005014	40001005	fue					y
40001005015	40001005	el					y
40001005016	40001005	padre					y
40001005017	40001005	de					y
40001005018	40001005	Obed	y				y
40001005019	40001005	.		y			n
40001005020	40001005	Lo					y
40001005021	40001005	tuvo					y
40001005022	40001005	con					y
40001005023	40001005	Rut	y				y
40001005024	40001005	.		y			n
40001005025	40001005	Obed					y
40001005026	40001005	fue					y
40001005027	40001005	el					y
40001005028	40001005	padre					y
40001005029	40001005	de					y
40001005030	40001005	Isaí	y				y
40001005031	40001005	.		y			n
40001006001	40001006	Isaí					y
40001006002	40001006	fue					y
40001006003	40001006	el					y
40001006004	40001006	padre					y
40001006005	40001006	de					y
40001006006	40001006	David	y				y
40001006007	40001006	,		y			n
40001006008	40001006	quien					y
40001006009	40001006	luego					y
40001006010	40001006	fue					y
40001006011	40001006	rey	y				y
40001006012	40001006	.		y			n
40001006013	40001006	David					y
40001006014	40001006	fue					y
40001006015	40001006	el					y
40001006016	40001006	padre					y
40001006017	40001006	de					y
40001006018	40001006	Salomón	y				y
40001006019	40001006	.		y			n
40001006020	40001006	Lo					y
40001006021	40001006	tuvo					y
40001006022	40001006	con					y
40001006023	40001006	la					y
40001006024	40001006	viuda					y
40001006025	40001006	de					y
40001006026	40001006	Urías	y				y
40001006027	40001006	.		y			n
40001007001	40001007	Salomón					y
40001007002	40001007	fue					y
40001007003	40001007	el					y
40001007004	40001007	padre					y
40001007005	40001007	de					y
40001007006	40001007	Roboán	y				y
40001007007	40001007	,		y			n
40001007008	40001007	Roboán					y
40001007009	40001007	fue					y
40001007010	40001007	el					y
40001007011	40001007	padre					y
40001007012	40001007	de					y
40001007013	40001007	Abías					y
40001007014	40001007	y					y
40001007015	40001007	Abías					y
40001007016	40001007	fue					y
40001007017	40001007	el					y
40001007018	40001007	padre					y
40001007019	40001007	de					y
40001007020	40001007	Asá	y				y
40001007021	40001007	.		y			n
40001008001	40001008	Asá					y
40001008002	40001008	fue					y
40001008003	40001008	el					y
40001008004	40001008	padre					y
40001008005	40001008	de					y
40001008006	40001008	Josafat	y				y
40001008007	40001008	,		y			n
40001008008	40001008	Josafat					y
40001008009	40001008	fue					y
40001008010	40001008	el					y
40001008011	40001008	padre					y
40001008012	40001008	de					y
40001008013	40001008	Jorán					y
40001008014	40001008	y					y
40001008015	40001008	Jorán					y
40001008016	40001008	fue					y
40001008017	40001008	el					y
40001008018	40001008	padre					y
40001008019	40001008	de					y
40001008020	40001008	Uzías	y				y
40001008021	40001008	.		y			n
40001009001	40001009	Uzías					y
40001009002	40001009	fue					y
40001009003	40001009	el					y
40001009004	40001009	padre					y
40001009005	40001009	de					y
40001009006	40001009	Jotán	y				y
40001009007	40001009	,		y			n
40001009008	40001009	Jotán					y
40001009009	40001009	fue					y
40001009010	40001009	el					y
40001009011	40001009	padre					y
40001009012	40001009	de					y
40001009013	40001009	Acaz					y
40001009014	40001009	y					y
40001009015	40001009	Acaz					y
40001009016	40001009	fue					y
40001009017	40001009	el					y
40001009018	40001009	padre					y
40001009019	40001009	de					y
40001009020	40001009	Ezequías	y				y
40001009021	40001009	.		y			n
40001010001	40001010	Ezequías					y
40001010002	40001010	fue					y
40001010003	40001010	el					y
40001010004	40001010	padre					y
40001010005	40001010	de					y
40001010006	40001010	Manasés	y				y
40001010007	40001010	,		y			n
40001010008	40001010	Manasés					y
40001010009	40001010	fue					y
40001010010	40001010	el					y
40001010011	40001010	padre					y
40001010012	40001010	de					y
40001010013	40001010	Amón	y				y
40001010014	40001010	,		y			n
40001010015	40001010	y					y
40001010016	40001010	Amón					y
40001010017	40001010	fue					y
40001010018	40001010	el					y
40001010019	40001010	padre					y
40001010020	40001010	de					y
40001010021	40001010	Josías	y				y
40001010022	40001010	.		y			n
40001011001	40001011	Josías					y
40001011002	40001011	fue					y
40001011003	40001011	el					y
40001011004	40001011	padre					y
40001011005	40001011	de					y
40001011006	40001011	Jeconías					y
40001011007	40001011	y					y
40001011008	40001011	de					y
40001011009	40001011	sus					y
40001011010	40001011	hermanos	y				y
40001011011	40001011	.		y			n
40001011012	40001011	Los					y
40001011013	40001011	tuvo					y
40001011014	40001011	en					y
40001011015	40001011	el					y
40001011016	40001011	tiempo					y
40001011017	40001011	de					y
40001011018	40001011	la					y
40001011019	40001011	deportación					y
40001011020	40001011	a					y
40001011021	40001011	Babilonia	y				y
40001011022	40001011	.		y			n
40001012001	40001012	Después					y
40001012002	40001012	de					y
40001012003	40001012	la					y
40001012004	40001012	deportación					y
40001012005	40001012	a					y
40001012006	40001012	Babilonia	y				y
40001012007	40001012	,		y			n
40001012008	40001012	Jeconías					y
40001012009	40001012	tuvo					y
40001012010	40001012	a					y
40001012011	40001012	Salatiel					y
40001012012	40001012	y					y
40001012013	40001012	Salatiel					y
40001012014	40001012	tuvo					y
40001012015	40001012	a					y
40001012016	40001012	Zorobabel	y				y
40001012017	40001012	.		y			n
40001013001	40001013	Zorobabel					y
40001013002	40001013	fue					y
40001013003	40001013	el					y
40001013004	40001013	padre					y
40001013005	40001013	de					y
40001013006	40001013	Abiud	y				y
40001013007	40001013	,		y			n
40001013008	40001013	Abiud					y
40001013009	40001013	fue					y
40001013010	40001013	el					y
40001013011	40001013	padre					y
40001013012	40001013	de					y
40001013013	40001013	Eliaquín					y
40001013014	40001013	y					y
40001013015	40001013	Eliaquín					y
40001013016	40001013	fue					y
40001013017	40001013	el					y
40001013018	40001013	padre					y
40001013019	40001013	de					y
40001013020	40001013	Azor	y				y
40001013021	40001013	.		y			n
40001014001	40001014	Azor					y
40001014002	40001014	fue					y
40001014003	40001014	el					y
40001014004	40001014	padre					y
40001014005	40001014	de					y
40001014006	40001014	Sadoc	y				y
40001014007	40001014	,		y			n
40001014008	40001014	Sadoc					y
40001014009	40001014	fue					y
40001014010	40001014	el					y
40001014011	40001014	padre					y
40001014012	40001014	de					y
40001014013	40001014	Aquín					y
40001014014	40001014	y					y
40001014015	40001014	Aquín					y
40001014016	40001014	fue					y
40001014017	40001014	el					y
40001014018	40001014	padre					y
40001014019	40001014	de					y
40001014020	40001014	Eliud	y				y
40001014021	40001014	.		y			n
40001015001	40001015	Eliud					y
40001015002	40001015	fue					y
40001015003	40001015	el					y
40001015004	40001015	padre					y
40001015005	40001015	de					y
40001015006	40001015	Eleazar	y				y
40001015007	40001015	,		y			n
40001015008	40001015	Eleazar					y
40001015009	40001015	fue					y
40001015010	40001015	el					y
40001015011	40001015	padre					y
40001015012	40001015	de					y
40001015013	40001015	Matán					y
40001015014	40001015	y					y
40001015015	40001015	Matán					y
40001015016	40001015	fue					y
40001015017	40001015	el					y
40001015018	40001015	padre					y
40001015019	40001015	de					y
40001015020	40001015	Jacob	y				y
40001015021	40001015	.		y			n
40001016001	40001016	Jacob					y
40001016002	40001016	fue					y
40001016003	40001016	el					y
40001016004	40001016	padre					y
40001016005	40001016	de					y
40001016006	40001016	José	y				y
40001016007	40001016	,		y			n
40001016008	40001016	que					y
40001016009	40001016	fue					y
40001016010	40001016	el					y
40001016011	40001016	esposo					y
40001016012	40001016	de					y
