id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
01001001001	01001001	EN				
01001001002	01001001	el				
01001001003	01001001	principio				
01001001004	01001001	crió				
01001001005	01001001	Dios				
01001001006	01001001	los				
01001001007	01001001	cielos				
01001001008	01001001	y				
01001001009	01001001	la				
01001001010	01001001	tierra	y			
01001001011	01001001	.		y		
01001002001	01001002	Y				
01001002002	01001002	la				
01001002003	01001002	tierra				
01001002004	01001002	estaba				
01001002005	01001002	desordenada				
01001002006	01001002	y				
01001002007	01001002	vacía	y			
01001002008	01001002	,		y		
01001002009	01001002	y				
01001002010	01001002	las				
01001002011	01001002	tinieblas				
01001002012	01001002	estaban				
01001002013	01001002	sobre				
01001002014	01001002	la				
01001002015	01001002	haz				
01001002016	01001002	del				
01001002017	01001002	abismo	y			
01001002018	01001002	,		y		
01001002019	01001002	y				
01001002020	01001002	el				
01001002021	01001002	Espíritu				
01001002022	01001002	de				
01001002023	01001002	Dios				
01001002024	01001002	se				
01001002025	01001002	movía				
01001002026	01001002	sobre				
01001002027	01001002	la				
01001002028	01001002	haz				
01001002029	01001002	de				
01001002030	01001002	las				
01001002031	01001002	aguas	y			
01001002032	01001002	.		y		
01001003001	01001003	Y				
01001003002	01001003	dijo				
01001003003	01001003	Dios	y			
01001003004	01001003	:		y		
01001003005	01001003	Sea				
01001003006	01001003	la				
01001003007	01001003	luz	y			
01001003008	01001003	:		y		
01001003009	01001003	y				
01001003010	01001003	fué				
01001003011	01001003	la				
01001003012	01001003	luz	y			
01001003013	01001003	.		y		
01001004001	01001004	Y				
01001004002	01001004	vió				
01001004003	01001004	Dios				
01001004004	01001004	que				
01001004005	01001004	la				
01001004006	01001004	luz				
01001004007	01001004	era				
01001004008	01001004	buena	y			
01001004009	01001004	:		y		
01001004010	01001004	y				
01001004011	01001004	apartó				
01001004012	01001004	Dios				
01001004013	01001004	la				
01001004014	01001004	luz				
01001004015	01001004	de				
01001004016	01001004	las				
01001004017	01001004	tinieblas	y			
01001004018	01001004	.		y		
01001005001	01001005	Y				
01001005002	01001005	llamó				
01001005003	01001005	Dios				
01001005004	01001005	á				
01001005005	01001005	la				
01001005006	01001005	luz				
01001005007	01001005	Día	y			
01001005008	01001005	,		y		
01001005009	01001005	y				
01001005010	01001005	á				
01001005011	01001005	las				
01001005012	01001005	tinieblas				
01001005013	01001005	llamó				
01001005014	01001005	Noche	y			
01001005015	01001005	:		y		
01001005016	01001005	y				
01001005017	01001005	fué				
01001005018	01001005	la				
01001005019	01001005	tarde				
01001005020	01001005	y				
01001005021	01001005	la				
01001005022	01001005	mañana				
01001005023	01001005	un				
01001005024	01001005	día	y			
01001005025	01001005	.		y		
01001006001	01001006	Y				
01001006002	01001006	dijo				
01001006003	01001006	Dios	y			
01001006004	01001006	:		y		
01001006005	01001006	Haya				
01001006006	01001006	expansión				
01001006007	01001006	en				
01001006008	01001006	medio				
01001006009	01001006	de				
01001006010	01001006	las				
01001006011	01001006	aguas	y			
01001006012	01001006	,		y		
01001006013	01001006	y				
01001006014	01001006	separe				
01001006015	01001006	las				
01001006016	01001006	aguas				
01001006017	01001006	de				
01001006018	01001006	las				
01001006019	01001006	aguas	y			
01001006020	01001006	.		y		
01001007001	01001007	E				
01001007002	01001007	hizo				
01001007003	01001007	Dios				
01001007004	01001007	la				
01001007005	01001007	expansión	y			
01001007006	01001007	,		y		
01001007007	01001007	y				
01001007008	01001007	apartó				
01001007009	01001007	las				
01001007010	01001007	aguas				
01001007011	01001007	que				
01001007012	01001007	estaban				
01001007013	01001007	debajo				
01001007014	01001007	de				
01001007015	01001007	la				
01001007016	01001007	expansión	y			
01001007017	01001007	,		y		
01001007018	01001007	de				
01001007019	01001007	las				
01001007020	01001007	aguas				
01001007021	01001007	que				
01001007022	01001007	estaban				
01001007023	01001007	sobre				
01001007024	01001007	la				
01001007025	01001007	expansión	y			
01001007026	01001007	:		y		
01001007027	01001007	y				
01001007028	01001007	fué				
01001007029	01001007	así	y			
01001007030	01001007	.		y		
01001008001	01001008	Y				
01001008002	01001008	llamó				
01001008003	01001008	Dios				
01001008004	01001008	á				
01001008005	01001008	la				
01001008006	01001008	expansión				
01001008007	01001008	Cielos	y			
01001008008	01001008	:		y		
01001008009	01001008	y				
01001008010	01001008	fué				
01001008011	01001008	la				
01001008012	01001008	tarde				
01001008013	01001008	y				
01001008014	01001008	la				
01001008015	01001008	mañana				
01001008016	01001008	el				
01001008017	01001008	día				
01001008018	01001008	segundo	y			
01001008019	01001008	.		y		
01001009001	01001009	Y				
01001009002	01001009	dijo				
01001009003	01001009	Dios	y			
01001009004	01001009	:		y		
01001009005	01001009	Júntense				
01001009006	01001009	las				
01001009007	01001009	aguas				
01001009008	01001009	que				
01001009009	01001009	están				
01001009010	01001009	debajo				
01001009011	01001009	de				
01001009012	01001009	los				
01001009013	01001009	cielos				
01001009014	01001009	en				
01001009015	01001009	un				
01001009016	01001009	lugar	y			
01001009017	01001009	,		y		
01001009018	01001009	y				
01001009019	01001009	descúbrase				
01001009020	01001009	la				
01001009021	01001009	seca	y			
01001009022	01001009	:		y		
01001009023	01001009	y				
01001009024	01001009	fué				
01001009025	01001009	así	y			
01001009026	01001009	.		y		
01001010001	01001010	Y				
01001010002	01001010	llamó				
01001010003	01001010	Dios				
01001010004	01001010	á				
01001010005	01001010	la				
01001010006	01001010	seca				
01001010007	01001010	Tierra	y			
01001010008	01001010	,		y		
01001010009	01001010	y				
01001010010	01001010	á				
01001010011	01001010	la				
01001010012	01001010	reunión				
01001010013	01001010	de				
